"S123","{}","{{K7, M1}, {K3 + 3*K7, M1}, {K3 + (3*K4)/2, 2*K1 + 2*K2 + K7, M1 + 2*M2}, {K3 + (3*K4)/2, 12*K2 + K4 + 6*K7, M1 + 2*M2}, {5*K4 - 6*K7, K3 + (9*K7)/5, M1}, {K4 - K7, K3 + (3*K7)/2, M1}}","Text[""(Demonstrably impossible)""]"
"S123B1","{K7, M1}","{K3, {K1 + K2, (2*K3)/3 + K4, M2}, {18*K2 - K3, 12*K2 + K4, M2}}","Text[""(Demonstrably impossible)""]"
"S123B2","{K3/3 + K7, M1}","{K3, {6*K1 + 6*K2 - K3, 4*K1 + 4*K2 + K4, M2}, {9*K2 - 2*K3, 3*K2 + K4, M2}}","Text[""(Demonstrably impossible)""]"
"S123C1","{(2*K3)/3 + K4, 2*K1 + 2*K2 + K7, M1/2 + M2}","{18*K1 + K3, {K1 + K2, M1}, {6*K1 + 6*K2 - K3, M1}, {18*K1 + 18*K2 - 5*K3, M1}, {3*K1 + 3*K2 - K3, M1}}","Text[""(Demonstrably impossible)""]"
"S123C2","{(2*K3)/3 + K4, 2*K2 - K3/9 + K7, M1/2 + M2}","{18*K1 + K3, {18*K2 - K3, M1}, {9*K2 - 2*K3, M1}, {3*K2 - K3, M1}, {18*K2 - 7*K3, M1}}","Text[""(Demonstrably impossible)""]"
"S123C3","{(2*K3)/3 + K4, (5*K3)/9 + K7, M1}","{K3, {18*K1 + 18*K2 - 5*K3, M2}, {3*K2 - K3, M2}}","Text[""(Demonstrably impossible)""]"
"S123C4","{(2*K3)/3 + K4, (2*K3)/3 + K7, M1}","{K3, {3*K1 + 3*K2 - K3, M2}, {18*K2 - 7*K3, M2}}","Text[""(Demonstrably impossible)""]"
"S123B1C1","{K3, K7, M1}","{K4}","{True}"
"S123B1C1D1","{K3, K4, K7, M1}","{{K2, M2}, {K1 + K2, M2}}","Text[""(Demonstrably impossible)""]"
"S123C1D1","{18*K1 + K3, -12*K1 + K4, 2*K1 + 2*K2 + K7, M1/2 + M2}","{{K1 + K2, M1}, {4*K1 + K2, M1}, {6*K1 + K2, M1}, {7*K1 + K2, M1}}","Text[""(Demonstrably impossible)""]"
"S123C1E1","{K1 + K2, (2*K3)/3 + K4, K7, M1, M2}","{K3, 18*K1 + K3}","{K1 > -1/18*K3}"
"S123C1E2","{-6*K1 - 6*K2 + K3, 4*K1 + 4*K2 + K4, 2*K1 + 2*K2 + K7, M1, M2}","{K1 + K2, 4*K1 + K2}","{(K2 <= 0 && K1 > -K2) || (K2 > 0 && K1 > -1/4*K2)}"
"S123C1E3","{(-18*K1)/5 - (18*K2)/5 + K3, (12*K1)/5 + (12*K2)/5 + K4, 2*K1 + 2*K2 + K7, M1, M2}","{K1 + K2, 6*K1 + K2}","Text[""(Demonstrably impossible)""]"
"S123C1E4","{-3*K1 - 3*K2 + K3, 2*K1 + 2*K2 + K4, 2*K1 + 2*K2 + K7, M1, M2}","{K1 + K2, 7*K1 + K2}","Text[""(Demonstrably impossible)""]"
"S123C2E1","{-18*K2 + K3, 12*K2 + K4, K7, M1, M2}","{K2, K1 + K2}","{True}"
"S123C2E2","{(-9*K2)/2 + K3, 3*K2 + K4, (3*K2)/2 + K7, M1, M2}","{K2, 4*K1 + K2}","{K2 > 0}"
"S123C2E3","{-3*K2 + K3, 2*K2 + K4, (5*K2)/3 + K7, M1, M2}","{K2, 6*K1 + K2}","Text[""(Demonstrably impossible)""]"
"S123C2E4","{(-18*K2)/7 + K3, (12*K2)/7 + K4, (12*K2)/7 + K7, M1, M2}","{K2, 7*K1 + K2}","Text[""(Demonstrably impossible)""]"
"S123B1C1D1F1","{K2, K3, K4, K7, M1, M2}","{K1}","{True}"
"S123B1C1D1F2","{K1 + K2, K3, K4, K7, M1, M2}","{K1}","{K1 > 0}"
"S123C1D1F1","{K1 + K2, 18*K1 + K3, -12*K1 + K4, K7, M1, M2}","{K1}","{True}"
"S123C1D1F2","{4*K1 + K2, 18*K1 + K3, -12*K1 + K4, -6*K1 + K7, M1, M2}","{K1}","{K1 < 0}"
"S123C1D1F3","{6*K1 + K2, 18*K1 + K3, -12*K1 + K4, -10*K1 + K7, M1, M2}","{K1}","Text[""(Demonstrably impossible)""]"
"S123C1D1F4","{7*K1 + K2, 18*K1 + K3, -12*K1 + K4, -12*K1 + K7, M1, M2}","{K1}","Text[""(Demonstrably impossible)""]"
"S123Z1","{K1, K2, K3, K4, K7, M1, M2}","{}","{True}"
